City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
233,Saskylakh,100,RU,1680383503,91,71.9167,114.0833,15.78,16.08
234,Rock Sound,11,BS,1680383743,77,24.9,-76.2,76.73,12.39
235,Shihezi,0,CN,1680383743,27,44.3,86.0333,31.41,10.78
236,São Domingos do Maranhão,100,BR,1680383744,90,-5.5758,-44.3853,75.83,2.3
237,Isiolo,66,KE,1680383744,64,0.3546,37.5822,72.82,6.71
238,Xai-Xai,0,MZ,1680383744,90,-25.0519,33.6442,71.62,5.97
239,Bathsheba,40,BB,1680383195,74,13.2167,-59.5167,81.21,18.41
240,Laas,100,IT,1680383745,90,46.6166,10.7002,44.69,4.32
241,Kunashak,74,RU,1680383745,80,55.7032,61.5498,30.72,10.33
242,Lufilufi,97,WS,1680383745,71,-13.8745,-171.5986,87.58,3.76
243,Honiara,96,SB,1680383745,83,-9.4333,159.95,79.86,1.12
244,Ixtapa,75,MX,1680383745,73,20.7,-105.2,76.23,14.97
245,Lavrentiya,100,RU,1680383746,92,65.5833,-171.0,25.95,7.2
246,Carnarvon,74,AU,1680383500,77,-24.8667,113.6333,74.91,12.46
247,Mehrān,0,IR,1680383746,37,33.1222,46.1646,53.2,8.34
248,Zaria,19,NG,1680383747,13,11.1113,7.7227,78.57,10.49
249,Bloemfontein,53,ZA,1680383747,82,-29.1211,26.214,58.48,0.0
250,Mountain Home,100,US,1680383747,81,43.133,-115.6912,42.28,31.07
251,Tual,100,ID,1680383747,73,-5.6667,132.75,82.63,5.08
252,Emba,82,KZ,1680383747,30,48.8264,58.1442,47.21,21.03
253,Alihe,100,CN,1680383747,91,50.5667,123.7167,42.93,3.71
254,Bāfq,0,IR,1680383748,17,31.6128,55.4107,62.26,6.8
255,Ankazoabo,97,MG,1680383748,91,-22.2833,44.5167,71.83,3.87
256,Magadan,99,RU,1680383749,96,59.5667,150.8,25.54,5.01
257,Ilo,0,PE,1680383749,73,-17.6394,-71.3375,77.86,6.91
258,Khovd,100,MN,1680383749,47,48.0056,91.6419,8.1,6.4
259,Bengkulu,98,ID,1680383750,89,-3.8004,102.2655,73.85,3.87
260,Kerema,81,PG,1680383750,84,-7.9631,145.7785,77.52,3.58
261,Dubbo,4,AU,1680383750,87,-32.25,148.6167,50.13,9.22
262,Tomeşti,100,RO,1680383750,97,47.1167,27.6833,50.13,5.99
263,Sudzha,100,RU,1680383750,89,51.1976,35.2726,43.02,10.13
264,Cap Malheureux,5,MU,1680383751,77,-19.9842,57.6142,77.47,3.0
265,Kamyshin,100,RU,1680383751,55,50.0983,45.416,47.05,3.8
266,Asău,100,RO,1680383751,92,46.4333,26.4,45.52,3.02
267,Iqaluit,20,CA,1680383751,77,63.7506,-68.5145,6.53,3.44
268,West Wendover,20,US,1680383751,19,40.7391,-114.0733,56.41,17.27
269,Kahului,20,US,1680383752,59,20.8947,-156.47,84.22,17.27
270,Dubti,58,ET,1680383752,55,11.7361,41.0853,86.18,6.06
271,Lázaro Cárdenas,24,MX,1680383752,45,17.9583,-102.2,85.51,10.38
272,Palmer,40,US,1680383753,68,42.1584,-72.3287,67.32,13.8
273,Deming,0,US,1680383753,8,32.2687,-107.7586,73.29,12.66
274,Te Anau,88,NZ,1680383753,94,-45.4167,167.7167,52.25,0.83
275,Båtsfjord,100,NO,1680383753,80,70.6345,29.7185,26.53,23.02
276,Egvekinot,100,RU,1680383753,93,66.3167,-179.1667,11.8,1.74
277,Miracema do Tocantins,81,BR,1680383754,85,-9.5618,-48.3967,77.97,3.74
278,Nekhayevskiy,65,RU,1680383754,80,50.4106,41.7561,40.55,3.58
279,Salalah,75,OM,1680383754,78,17.0151,54.0924,82.49,6.91
280,Mandera,66,KE,1680383754,41,3.9366,41.867,90.75,6.2
281,Cherskiy,100,RU,1680383754,100,68.75,161.3,-21.48,4.36
282,Aras,75,ES,1680383755,53,42.5617,-2.356,45.01,13.8
283,Viseu,67,PT,1680383566,97,40.661,-7.9097,54.73,3.06
284,Miles City,100,US,1680383654,28,46.4083,-105.8406,58.17,14.97
285,Pevek,100,RU,1680383755,94,69.7008,170.3133,-10.73,10.71
286,Muzhi,100,RU,1680383755,89,65.3667,64.6667,35.49,18.72
287,Xining,100,CN,1680383756,80,36.6167,101.7667,37.06,5.61
288,Pochutla,53,MX,1680383756,47,15.7432,-96.4661,90.82,9.01
289,Hīt,1,IQ,1680383756,35,33.6416,42.8251,58.33,6.51
290,Vitim,92,RU,1680383757,100,59.4511,112.5578,-5.94,0.72
291,Santa Catarina de Tepehuanes,99,MX,1680383757,10,25.35,-105.7333,82.42,17.2
292,Kiryat Gat,0,IL,1680383757,100,31.61,34.7642,56.39,4.12
293,Phan Thiet,68,VN,1680383757,81,10.9333,108.1,73.27,3.02
294,Boende,71,CD,1680383758,76,-0.2167,20.8667,70.66,1.23
295,Netivot,0,IL,1680383758,70,31.4222,34.5886,49.6,4.16
296,Leningradskiy,100,RU,1680383203,93,69.3833,178.4167,2.05,30.71
297,Pisco,0,PE,1680383758,78,-13.7,-76.2167,78.85,23.02
298,Lumeje,96,AO,1680383759,91,-11.55,20.7833,66.09,2.48
299,Ransang,100,PH,1680383759,83,8.9603,117.5828,77.76,1.01
300,Porbandar,5,IN,1680383759,76,21.6422,69.6093,75.65,8.99
301,Gamba,97,GA,1680383760,92,-2.65,10.0,75.04,4.52
302,Rietavas,100,LT,1680383760,86,55.7194,21.9311,35.11,11.63
303,Yeppoon,100,AU,1680383760,89,-23.1333,150.7333,65.98,12.62
304,Harper,30,LR,1680383760,86,4.375,-7.7169,79.77,5.68
305,Lewistown,75,US,1680383616,71,40.5992,-77.5714,59.72,19.57
306,Tezu,100,IN,1680383761,97,27.9167,96.1667,63.7,1.23
307,Plettenberg Bay,0,ZA,1680383762,73,-34.0527,23.3716,62.26,2.17
308,Hofn,1,IS,1680383762,73,64.2539,-15.2082,39.88,8.68
309,Lucapa,70,AO,1680383763,96,-8.4192,20.7447,64.81,1.68
310,Cañaveral,5,HN,1680383763,21,14.9833,-88.0167,92.43,6.06
311,Prince Rupert,20,CA,1680383764,93,54.3161,-130.3201,37.49,20.71
312,Kuytun,34,RU,1680383764,95,54.3419,101.5036,7.03,4.72
313,Kununurra,5,AU,1680383721,88,-15.7667,128.7333,76.98,5.75
314,Vardø,100,NO,1680383765,86,70.3705,31.1107,26.58,26.46
315,Mount Isa,92,AU,1680383765,40,-20.7333,139.5,71.37,6.91
316,San Patricio,98,US,1680383765,52,28.017,-97.5169,88.52,13.04
317,Osypenko,78,UA,1680383766,81,46.9136,36.8253,43.25,8.41
318,Aklavik,20,CA,1680383766,56,68.2191,-135.0107,6.8,2.3
319,Taman',100,RU,1680383766,77,45.2117,36.7161,46.47,19.42
